#time 	 Mag 	 e_Mag
0.000360 	 0.743289 	 0.002793
0.000480 	 0.736664 	 0.003063
0.000600 	 0.708777 	 0.003036
0.000720 	 0.660937 	 0.003000
0.000840 	 0.595739 	 0.002978
0.000960 	 0.517663 	 0.002839
0.001080 	 0.432633 	 0.002510
0.001200 	 0.347112 	 0.002025
0.001320 	 0.266950 	 0.001486
0.001440 	 0.196459 	 0.000996
0.001560 	 0.138019 	 0.000622
0.001740 	 0.073892 	 0.000335
0.002040 	 0.020222 	 0.000312
0.002340 	 0.008426 	 0.000316
0.002640 	 0.005520 	 0.000282
0.002940 	 0.003989 	 0.000141
0.003240 	 0.003027 	 0.000078
0.003940 	 0.000960 	 0.000033
0.004640 	 0.000384 	 0.000012
