#time 	 phase 	 fraction
0.000360 	 -180.000000 	 0.732065
0.000360 	 -150.000000 	 0.631615
0.000360 	 -120.000000 	 0.361925
0.000360 	 -90.000000 	 -0.004742
0.000360 	 -60.000000 	 -0.370139
0.000360 	 -30.000000 	 -0.636358
0.000360 	 -0.000000 	 -0.732065
0.000360 	 30.000000 	 -0.631615
0.000360 	 60.000000 	 -0.361925
0.000360 	 90.000000 	 0.004742
0.000360 	 120.000000 	 0.370139
0.000360 	 150.000000 	 0.636358
0.000480 	 -180.000000 	 0.729412
0.000480 	 -150.000000 	 0.632867
0.000480 	 -120.000000 	 0.366746
0.000480 	 -90.000000 	 0.002356
0.000480 	 -60.000000 	 -0.362666
0.000480 	 -30.000000 	 -0.630511
0.000480 	 -0.000000 	 -0.729412
0.000480 	 30.000000 	 -0.632867
0.000480 	 60.000000 	 -0.366746
0.000480 	 90.000000 	 -0.002356
0.000480 	 120.000000 	 0.362666
0.000480 	 150.000000 	 0.630511
0.000600 	 -180.000000 	 0.704843
0.000600 	 -150.000000 	 0.619245
0.000600 	 -120.000000 	 0.367720
0.000600 	 -90.000000 	 0.017665
0.000600 	 -60.000000 	 -0.337123
0.000600 	 -30.000000 	 -0.601579
0.000600 	 -0.000000 	 -0.704843
0.000600 	 30.000000 	 -0.619245
0.000600 	 60.000000 	 -0.367720
0.000600 	 90.000000 	 -0.017665
0.000600 	 120.000000 	 0.337123
0.000600 	 150.000000 	 0.601579
0.000720 	 -180.000000 	 0.658288
0.000720 	 -150.000000 	 0.589673
0.000720 	 -120.000000 	 0.363055
0.000720 	 -90.000000 	 0.039157
0.000720 	 -60.000000 	 -0.295233
0.000720 	 -30.000000 	 -0.550516
0.000720 	 -0.000000 	 -0.658288
0.000720 	 30.000000 	 -0.589673
0.000720 	 60.000000 	 -0.363055
0.000720 	 90.000000 	 -0.039157
0.000720 	 120.000000 	 0.295233
0.000720 	 150.000000 	 0.550516
0.000840 	 -180.000000 	 0.590846
0.000840 	 -150.000000 	 0.543168
0.000840 	 -120.000000 	 0.349948
0.000840 	 -90.000000 	 0.062960
0.000840 	 -60.000000 	 -0.240898
0.000840 	 -30.000000 	 -0.480207
0.000840 	 -0.000000 	 -0.590846
0.000840 	 30.000000 	 -0.543168
0.000840 	 60.000000 	 -0.349948
0.000840 	 90.000000 	 -0.062960
0.000840 	 120.000000 	 0.240898
0.000840 	 150.000000 	 0.480207
0.000960 	 -180.000000 	 0.506184
0.000960 	 -150.000000 	 0.480486
0.000960 	 -120.000000 	 0.326042
0.000960 	 -90.000000 	 0.084235
0.000960 	 -60.000000 	 -0.180143
0.000960 	 -30.000000 	 -0.396251
0.000960 	 -0.000000 	 -0.506184
0.000960 	 30.000000 	 -0.480486
0.000960 	 60.000000 	 -0.326042
0.000960 	 90.000000 	 -0.084235
0.000960 	 120.000000 	 0.180143
0.000960 	 150.000000 	 0.396251
0.001080 	 -180.000000 	 0.410969
0.001080 	 -150.000000 	 0.405095
0.001080 	 -120.000000 	 0.290676
0.001080 	 -90.000000 	 0.098370
0.001080 	 -60.000000 	 -0.120294
0.001080 	 -30.000000 	 -0.306725
0.001080 	 -0.000000 	 -0.410969
0.001080 	 30.000000 	 -0.405095
0.001080 	 60.000000 	 -0.290676
0.001080 	 90.000000 	 -0.098370
0.001080 	 120.000000 	 0.120294
0.001080 	 150.000000 	 0.306725
0.001200 	 -180.000000 	 0.314049
0.001200 	 -150.000000 	 0.323189
0.001200 	 -120.000000 	 0.245731
0.001200 	 -90.000000 	 0.102429
0.001200 	 -60.000000 	 -0.068319
0.001200 	 -30.000000 	 -0.220760
0.001200 	 -0.000000 	 -0.314049
0.001200 	 30.000000 	 -0.323189
0.001200 	 60.000000 	 -0.245731
0.001200 	 90.000000 	 -0.102429
0.001200 	 120.000000 	 0.068319
0.001200 	 150.000000 	 0.220760
0.001320 	 -180.000000 	 0.224350
0.001320 	 -150.000000 	 0.242360
0.001320 	 -120.000000 	 0.195430
0.001320 	 -90.000000 	 0.096134
0.001320 	 -60.000000 	 -0.028920
0.001320 	 -30.000000 	 -0.146226
0.001320 	 -0.000000 	 -0.224350
0.001320 	 30.000000 	 -0.242360
0.001320 	 60.000000 	 -0.195430
0.001320 	 90.000000 	 -0.096134
0.001320 	 120.000000 	 0.028920
0.001320 	 150.000000 	 0.146226
0.001440 	 -180.000000 	 0.148589
0.001440 	 -150.000000 	 0.169568
0.001440 	 -120.000000 	 0.145112
0.001440 	 -90.000000 	 0.081773
0.001440 	 -60.000000 	 -0.003477
0.001440 	 -30.000000 	 -0.087795
0.001440 	 -0.000000 	 -0.148589
0.001440 	 30.000000 	 -0.169568
0.001440 	 60.000000 	 -0.145112
0.001440 	 90.000000 	 -0.081773
0.001440 	 120.000000 	 0.003477
0.001440 	 150.000000 	 0.087795
0.001560 	 -180.000000 	 0.090026
0.001560 	 -150.000000 	 0.109514
0.001560 	 -120.000000 	 0.099658
0.001560 	 -90.000000 	 0.063098
0.001560 	 -60.000000 	 0.009632
0.001560 	 -30.000000 	 -0.046415
0.001560 	 -0.000000 	 -0.090026
0.001560 	 30.000000 	 -0.109514
0.001560 	 60.000000 	 -0.099658
0.001560 	 90.000000 	 -0.063098
0.001560 	 120.000000 	 -0.009632
0.001560 	 150.000000 	 0.046415
0.001740 	 -180.000000 	 0.033583
0.001740 	 -150.000000 	 0.046663
0.001740 	 -120.000000 	 0.047239
0.001740 	 -90.000000 	 0.035158
0.001740 	 -60.000000 	 0.013657
0.001740 	 -30.000000 	 -0.011504
0.001740 	 -0.000000 	 -0.033583
0.001740 	 30.000000 	 -0.046663
0.001740 	 60.000000 	 -0.047239
0.001740 	 90.000000 	 -0.035158
0.001740 	 120.000000 	 -0.013657
0.001740 	 150.000000 	 0.011504
0.002040 	 -180.000000 	 -0.001676
0.002040 	 -150.000000 	 0.001557
0.002040 	 -120.000000 	 0.004374
0.002040 	 -90.000000 	 0.006018
0.002040 	 -60.000000 	 0.006050
0.002040 	 -30.000000 	 0.004461
0.002040 	 -0.000000 	 0.001676
0.002040 	 30.000000 	 -0.001557
0.002040 	 60.000000 	 -0.004374
0.002040 	 90.000000 	 -0.006018
0.002040 	 120.000000 	 -0.006050
0.002040 	 150.000000 	 -0.004461
0.002340 	 -180.000000 	 -0.005840
0.002340 	 -150.000000 	 -0.005743
0.002340 	 -120.000000 	 -0.004108
0.002340 	 -90.000000 	 -0.001372
0.002340 	 -60.000000 	 0.001732
0.002340 	 -30.000000 	 0.004372
0.002340 	 -0.000000 	 0.005840
0.002340 	 30.000000 	 0.005743
0.002340 	 60.000000 	 0.004108
0.002340 	 90.000000 	 0.001372
0.002340 	 120.000000 	 -0.001732
0.002340 	 150.000000 	 -0.004372
0.002640 	 -180.000000 	 -0.003898
0.002640 	 -150.000000 	 -0.003730
0.002640 	 -120.000000 	 -0.002564
0.002640 	 -90.000000 	 -0.000710
0.002640 	 -60.000000 	 0.001334
0.002640 	 -30.000000 	 0.003020
0.002640 	 -0.000000 	 0.003898
0.002640 	 30.000000 	 0.003730
0.002640 	 60.000000 	 0.002564
0.002640 	 90.000000 	 0.000710
0.002640 	 120.000000 	 -0.001334
0.002640 	 150.000000 	 -0.003020
0.002940 	 -180.000000 	 -0.001493
0.002940 	 -150.000000 	 -0.001160
0.002940 	 -120.000000 	 -0.000516
0.002940 	 -90.000000 	 0.000266
0.002940 	 -60.000000 	 0.000976
0.002940 	 -30.000000 	 0.001426
0.002940 	 -0.000000 	 0.001493
0.002940 	 30.000000 	 0.001160
0.002940 	 60.000000 	 0.000516
0.002940 	 90.000000 	 -0.000266
0.002940 	 120.000000 	 -0.000976
0.002940 	 150.000000 	 -0.001426
0.003240 	 -180.000000 	 0.000350
0.003240 	 -150.000000 	 0.000533
0.003240 	 -120.000000 	 0.000573
0.003240 	 -90.000000 	 0.000459
0.003240 	 -60.000000 	 0.000223
0.003240 	 -30.000000 	 -0.000074
0.003240 	 -0.000000 	 -0.000350
0.003240 	 30.000000 	 -0.000533
0.003240 	 60.000000 	 -0.000573
0.003240 	 90.000000 	 -0.000459
0.003240 	 120.000000 	 -0.000223
0.003240 	 150.000000 	 0.000074
0.003940 	 -180.000000 	 0.000759
0.003940 	 -150.000000 	 0.000679
0.003940 	 -120.000000 	 0.000417
0.003940 	 -90.000000 	 0.000043
0.003940 	 -60.000000 	 -0.000342
0.003940 	 -30.000000 	 -0.000636
0.003940 	 -0.000000 	 -0.000759
0.003940 	 30.000000 	 -0.000679
0.003940 	 60.000000 	 -0.000417
0.003940 	 90.000000 	 -0.000043
0.003940 	 120.000000 	 0.000342
0.003940 	 150.000000 	 0.000636
0.004640 	 -180.000000 	 -0.000107
0.004640 	 -150.000000 	 -0.000142
0.004640 	 -120.000000 	 -0.000140
0.004640 	 -90.000000 	 -0.000100
0.004640 	 -60.000000 	 -0.000033
0.004640 	 -30.000000 	 0.000043
0.004640 	 -0.000000 	 0.000107
0.004640 	 30.000000 	 0.000142
0.004640 	 60.000000 	 0.000140
0.004640 	 90.000000 	 0.000100
0.004640 	 120.000000 	 0.000033
0.004640 	 150.000000 	 -0.000043
