#time 	 phase 	 fraction
0.001740 	 -0.000000 	 0.010379
0.001740 	 30.000000 	 0.030248
0.001740 	 60.000000 	 0.042012
0.001740 	 90.000000 	 0.042519
0.001740 	 120.000000 	 0.031633
0.001740 	 150.000000 	 0.012271
0.002040 	 -180.000000 	 -0.007854
0.002040 	 -150.000000 	 -0.012743
0.002040 	 -120.000000 	 -0.014217
0.002040 	 -90.000000 	 -0.011882
0.002040 	 -60.000000 	 -0.006364
0.002040 	 -30.000000 	 0.000860
0.002040 	 -0.000000 	 0.007854
0.002040 	 30.000000 	 0.012743
0.002040 	 60.000000 	 0.014217
0.002040 	 90.000000 	 0.011882
0.002040 	 120.000000 	 0.006364
0.002040 	 150.000000 	 -0.000860
0.002340 	 -180.000000 	 0.002171
0.002340 	 -150.000000 	 0.001005
0.002340 	 -120.000000 	 -0.000430
0.002340 	 -90.000000 	 -0.001750
0.002340 	 -60.000000 	 -0.002601
0.002340 	 -30.000000 	 -0.002755
0.002340 	 -0.000000 	 -0.002171
0.002340 	 30.000000 	 -0.001005
0.002340 	 60.000000 	 0.000430
0.002340 	 90.000000 	 0.001750
0.002340 	 120.000000 	 0.002601
0.002340 	 150.000000 	 0.002755
0.002640 	 -180.000000 	 0.004247
0.002640 	 -150.000000 	 0.003660
0.002640 	 -120.000000 	 0.002092
0.002640 	 -90.000000 	 -0.000037
0.002640 	 -60.000000 	 -0.002155
0.002640 	 -30.000000 	 -0.003696
0.002640 	 -0.000000 	 -0.004247
0.002640 	 30.000000 	 -0.003660
0.002640 	 60.000000 	 -0.002092
0.002640 	 90.000000 	 0.000037
0.002640 	 120.000000 	 0.002155
0.002640 	 150.000000 	 0.003696
0.002940 	 -180.000000 	 0.001957
0.002940 	 -150.000000 	 0.001860
0.002940 	 -120.000000 	 0.001265
0.002940 	 -90.000000 	 0.000331
0.002940 	 -60.000000 	 -0.000692
0.002940 	 -30.000000 	 -0.001529
0.002940 	 -0.000000 	 -0.001957
0.002940 	 30.000000 	 -0.001860
0.002940 	 60.000000 	 -0.001265
0.002940 	 90.000000 	 -0.000331
0.002940 	 120.000000 	 0.000692
0.002940 	 150.000000 	 0.001529
0.003240 	 -180.000000 	 -0.000157
0.003240 	 -150.000000 	 0.000103
0.003240 	 -120.000000 	 0.000335
0.003240 	 -90.000000 	 0.000478
0.003240 	 -60.000000 	 0.000492
0.003240 	 -30.000000 	 0.000375
0.003240 	 -0.000000 	 0.000157
0.003240 	 30.000000 	 -0.000103
0.003240 	 60.000000 	 -0.000335
0.003240 	 90.000000 	 -0.000478
0.003240 	 120.000000 	 -0.000492
0.003240 	 150.000000 	 -0.000375
0.003940 	 -180.000000 	 -0.000697
0.003940 	 -150.000000 	 -0.000596
0.003940 	 -120.000000 	 -0.000335
0.003940 	 -90.000000 	 0.000016
0.003940 	 -60.000000 	 0.000362
0.003940 	 -30.000000 	 0.000611
0.003940 	 -0.000000 	 0.000697
0.003940 	 30.000000 	 0.000596
0.003940 	 60.000000 	 0.000335
0.003940 	 90.000000 	 -0.000016
0.003940 	 120.000000 	 -0.000362
0.003940 	 150.000000 	 -0.000611
0.004640 	 -180.000000 	 0.000114
0.004640 	 -150.000000 	 0.000047
0.004640 	 -120.000000 	 -0.000033
0.004640 	 -90.000000 	 -0.000104
0.004640 	 -60.000000 	 -0.000147
0.004640 	 -30.000000 	 -0.000151
0.004640 	 -0.000000 	 -0.000114
0.004640 	 30.000000 	 -0.000047
0.004640 	 60.000000 	 0.000033
0.004640 	 90.000000 	 0.000104
0.004640 	 120.000000 	 0.000147
0.004640 	 150.000000 	 0.000151
