#time 	 phase 	 fraction
0.000360 	 -180.000000 	 0.979883
0.000360 	 -150.000000 	 0.843098
0.000360 	 -120.000000 	 0.480406
0.000360 	 -90.000000 	 -0.011011
0.000360 	 -60.000000 	 -0.499477
0.000360 	 -30.000000 	 -0.854109
0.000360 	 -0.000000 	 -0.979883
0.000360 	 30.000000 	 -0.843098
0.000360 	 60.000000 	 -0.480406
0.000360 	 90.000000 	 0.011011
0.000360 	 120.000000 	 0.499477
0.000360 	 150.000000 	 0.854109
0.000480 	 -180.000000 	 0.939525
0.000480 	 -150.000000 	 0.804671
0.000480 	 -120.000000 	 0.454207
0.000480 	 -90.000000 	 -0.017962
0.000480 	 -60.000000 	 -0.485318
0.000480 	 -30.000000 	 -0.822633
0.000480 	 -0.000000 	 -0.939525
0.000480 	 30.000000 	 -0.804671
0.000480 	 60.000000 	 -0.454207
0.000480 	 90.000000 	 0.017962
0.000480 	 120.000000 	 0.485318
0.000480 	 150.000000 	 0.822633
0.000600 	 -180.000000 	 0.876318
0.000600 	 -150.000000 	 0.747783
0.000600 	 -120.000000 	 0.418880
0.000600 	 -90.000000 	 -0.022262
0.000600 	 -60.000000 	 -0.457438
0.000600 	 -30.000000 	 -0.770044
0.000600 	 -0.000000 	 -0.876318
0.000600 	 30.000000 	 -0.747783
0.000600 	 60.000000 	 -0.418880
0.000600 	 90.000000 	 0.022262
0.000600 	 120.000000 	 0.457438
0.000600 	 150.000000 	 0.770044
0.000720 	 -180.000000 	 0.791197
0.000720 	 -150.000000 	 0.673208
0.000720 	 -120.000000 	 0.374833
0.000720 	 -90.000000 	 -0.023978
0.000720 	 -60.000000 	 -0.416364
0.000720 	 -30.000000 	 -0.697186
0.000720 	 -0.000000 	 -0.791197
0.000720 	 30.000000 	 -0.673208
0.000720 	 60.000000 	 -0.374833
0.000720 	 90.000000 	 0.023978
0.000720 	 120.000000 	 0.416364
0.000720 	 150.000000 	 0.697186
0.000840 	 -180.000000 	 0.685871
0.000840 	 -150.000000 	 0.582168
0.000840 	 -120.000000 	 0.322474
0.000840 	 -90.000000 	 -0.023627
0.000840 	 -60.000000 	 -0.363398
0.000840 	 -30.000000 	 -0.605796
0.000840 	 -0.000000 	 -0.685871
0.000840 	 30.000000 	 -0.582168
0.000840 	 60.000000 	 -0.322474
0.000840 	 90.000000 	 0.023627
0.000840 	 120.000000 	 0.363398
0.000840 	 150.000000 	 0.605796
0.000960 	 -180.000000 	 0.564551
0.000960 	 -150.000000 	 0.478139
0.000960 	 -120.000000 	 0.263610
0.000960 	 -90.000000 	 -0.021553
0.000960 	 -60.000000 	 -0.300941
0.000960 	 -30.000000 	 -0.499692
0.000960 	 -0.000000 	 -0.564551
0.000960 	 30.000000 	 -0.478139
0.000960 	 60.000000 	 -0.263610
0.000960 	 90.000000 	 0.021553
0.000960 	 120.000000 	 0.300941
0.000960 	 150.000000 	 0.499692
0.001080 	 -180.000000 	 0.436154
0.001080 	 -150.000000 	 0.368588
0.001080 	 -120.000000 	 0.202259
0.001080 	 -90.000000 	 -0.018264
0.001080 	 -60.000000 	 -0.233894
0.001080 	 -30.000000 	 -0.386852
0.001080 	 -0.000000 	 -0.436154
0.001080 	 30.000000 	 -0.368588
0.001080 	 60.000000 	 -0.202259
0.001080 	 90.000000 	 0.018264
0.001080 	 120.000000 	 0.233894
0.001080 	 150.000000 	 0.386852
0.001200 	 -180.000000 	 0.313562
0.001200 	 -150.000000 	 0.264198
0.001200 	 -120.000000 	 0.144041
0.001200 	 -90.000000 	 -0.014711
0.001200 	 -60.000000 	 -0.169521
0.001200 	 -30.000000 	 -0.278908
0.001200 	 -0.000000 	 -0.313562
0.001200 	 30.000000 	 -0.264198
0.001200 	 60.000000 	 -0.144041
0.001200 	 90.000000 	 0.014711
0.001200 	 120.000000 	 0.169521
0.001200 	 150.000000 	 0.278908
0.001320 	 -180.000000 	 0.208872
0.001320 	 -150.000000 	 0.175001
0.001320 	 -120.000000 	 0.094238
0.001320 	 -90.000000 	 -0.011775
0.001320 	 -60.000000 	 -0.114634
0.001320 	 -30.000000 	 -0.186776
0.001320 	 -0.000000 	 -0.208872
0.001320 	 30.000000 	 -0.175001
0.001320 	 60.000000 	 -0.094238
0.001320 	 90.000000 	 0.011775
0.001320 	 120.000000 	 0.114634
0.001320 	 150.000000 	 0.186776
0.001440 	 -180.000000 	 0.128526
0.001440 	 -150.000000 	 0.106438
0.001440 	 -120.000000 	 0.055829
0.001440 	 -90.000000 	 -0.009739
0.001440 	 -60.000000 	 -0.072697
0.001440 	 -30.000000 	 -0.116176
0.001440 	 -0.000000 	 -0.128526
0.001440 	 30.000000 	 -0.106438
0.001440 	 60.000000 	 -0.055829
0.001440 	 90.000000 	 0.009739
0.001440 	 120.000000 	 0.072697
0.001440 	 150.000000 	 0.116176
0.001560 	 -180.000000 	 0.072546
0.001560 	 -150.000000 	 0.058652
0.001560 	 -120.000000 	 0.029043
0.001560 	 -90.000000 	 -0.008348
0.001560 	 -60.000000 	 -0.043502
0.001560 	 -30.000000 	 -0.067000
0.001560 	 -0.000000 	 -0.072546
0.001560 	 30.000000 	 -0.058652
0.001560 	 60.000000 	 -0.029043
0.001560 	 90.000000 	 0.008348
0.001560 	 120.000000 	 0.043502
0.001560 	 150.000000 	 0.067000
0.001740 	 -180.000000 	 0.025149
0.001740 	 -150.000000 	 0.018479
0.001740 	 -120.000000 	 0.006858
0.001740 	 -90.000000 	 -0.006600
0.001740 	 -60.000000 	 -0.018290
0.001740 	 -30.000000 	 -0.025080
0.001740 	 -0.000000 	 -0.025149
0.001740 	 30.000000 	 -0.018479
0.001740 	 60.000000 	 -0.006858
0.001740 	 90.000000 	 0.006600
0.001740 	 120.000000 	 0.018290
0.001740 	 150.000000 	 0.025080
0.002040 	 -180.000000 	 0.001394
0.002040 	 -150.000000 	 -0.000481
0.002040 	 -120.000000 	 -0.002228
0.002040 	 -90.000000 	 -0.003378
0.002040 	 -60.000000 	 -0.003622
0.002040 	 -30.000000 	 -0.002896
0.002040 	 -0.000000 	 -0.001394
0.002040 	 30.000000 	 0.000481
0.002040 	 60.000000 	 0.002228
0.002040 	 90.000000 	 0.003378
0.002040 	 120.000000 	 0.003622
0.002040 	 150.000000 	 0.002896
0.002340 	 -180.000000 	 -0.000083
0.002340 	 -150.000000 	 -0.000520
0.002340 	 -120.000000 	 -0.000817
0.002340 	 -90.000000 	 -0.000896
0.002340 	 -60.000000 	 -0.000734
0.002340 	 -30.000000 	 -0.000376
0.002340 	 -0.000000 	 0.000083
0.002340 	 30.000000 	 0.000520
0.002340 	 60.000000 	 0.000817
0.002340 	 90.000000 	 0.000896
0.002340 	 120.000000 	 0.000734
0.002340 	 150.000000 	 0.000376
0.002640 	 -180.000000 	 0.000319
0.002640 	 -150.000000 	 0.000342
0.002640 	 -120.000000 	 0.000274
0.002640 	 -90.000000 	 0.000132
0.002640 	 -60.000000 	 -0.000045
0.002640 	 -30.000000 	 -0.000210
0.002640 	 -0.000000 	 -0.000319
0.002640 	 30.000000 	 -0.000342
0.002640 	 60.000000 	 -0.000274
0.002640 	 90.000000 	 -0.000132
0.002640 	 120.000000 	 0.000045
0.002640 	 150.000000 	 0.000210
0.002940 	 -180.000000 	 0.000193
0.002940 	 -150.000000 	 0.000318
0.002940 	 -120.000000 	 0.000357
0.002940 	 -90.000000 	 0.000301
0.002940 	 -60.000000 	 0.000164
0.002940 	 -30.000000 	 -0.000017
0.002940 	 -0.000000 	 -0.000193
0.002940 	 30.000000 	 -0.000318
0.002940 	 60.000000 	 -0.000357
0.002940 	 90.000000 	 -0.000301
0.002940 	 120.000000 	 -0.000164
0.002940 	 150.000000 	 0.000017
0.003240 	 -180.000000 	 0.000103
0.003240 	 -150.000000 	 0.000182
0.003240 	 -120.000000 	 0.000212
0.003240 	 -90.000000 	 0.000185
0.003240 	 -60.000000 	 0.000109
0.003240 	 -30.000000 	 0.000003
0.003240 	 -0.000000 	 -0.000103
0.003240 	 30.000000 	 -0.000182
0.003240 	 60.000000 	 -0.000212
0.003240 	 90.000000 	 -0.000185
0.003240 	 120.000000 	 -0.000109
0.003240 	 150.000000 	 -0.000003
0.003940 	 -180.000000 	 0.000034
0.003940 	 -150.000000 	 0.000017
0.003940 	 -120.000000 	 -0.000004
0.003940 	 -90.000000 	 -0.000024
0.003940 	 -60.000000 	 -0.000037
0.003940 	 -30.000000 	 -0.000041
0.003940 	 -0.000000 	 -0.000034
0.003940 	 30.000000 	 -0.000017
0.003940 	 60.000000 	 0.000004
0.003940 	 90.000000 	 0.000024
0.003940 	 120.000000 	 0.000037
0.003940 	 150.000000 	 0.000041
0.004640 	 -180.000000 	 0.000003
0.004640 	 -150.000000 	 -0.000002
0.004640 	 -120.000000 	 -0.000007
0.004640 	 -90.000000 	 -0.000009
0.004640 	 -60.000000 	 -0.000010
0.004640 	 -30.000000 	 -0.000008
0.004640 	 -0.000000 	 -0.000003
0.004640 	 30.000000 	 0.000002
0.004640 	 60.000000 	 0.000007
0.004640 	 90.000000 	 0.000009
0.004640 	 120.000000 	 0.000010
0.004640 	 150.000000 	 0.000008
