0.000360 	 0.779103 	 0.653741 
0.000480 	 2.386943 	 0.599406 
0.000600 	 4.811016 	 0.535592 
0.000720 	 8.211931 	 0.465290 
0.000840 	 12.832853 	 0.391786 
0.000960 	 18.974899 	 0.318279 
0.001080 	 26.999029 	 0.248583 
0.001200 	 37.302748 	 0.186868 
0.001320 	 50.154454 	 0.136461 
0.001440 	 65.294158 	 0.098480 
0.001560 	 81.512826 	 0.071341 
0.001740 	 -76.282191 	 0.043767 
0.002040 	 -56.537237 	 0.014243 
0.002340 	 38.872238 	 0.002788 
0.002640 	 0.492674 	 0.004247 
0.002940 	 -9.598278 	 0.001985 
0.003240 	 71.805566 	 0.000503 
0.003940 	 1.284551 	 0.000697 
0.004640 	 42.323612 	 0.000154 
