0.000360 	 0.643798 	 0.979945 
0.000480 	 1.095256 	 0.939696 
0.000600 	 1.455202 	 0.876601 
0.000720 	 1.735871 	 0.791560 
0.000840 	 1.972988 	 0.686278 
0.000960 	 2.186336 	 0.564962 
0.001080 	 2.397900 	 0.436536 
0.001200 	 2.686063 	 0.313907 
0.001320 	 3.226677 	 0.209204 
0.001440 	 4.333146 	 0.128895 
0.001560 	 6.564272 	 0.073024 
0.001740 	 14.705657 	 0.026000 
0.002040 	 67.570843 	 0.003654 
0.002340 	 -84.701625 	 0.000900 
0.002640 	 -22.505393 	 0.000345 
0.002940 	 -57.295690 	 0.000358 
0.003240 	 -60.873668 	 0.000212 
0.003940 	 35.370635 	 0.000041 
0.004640 	 71.346286 	 0.000010 
