#time 	 Mag 	 e_Mag
0.000360 	 0.671048 	 0.001989
0.000480 	 0.615818 	 0.004130
0.000600 	 0.549646 	 0.005599
0.000720 	 0.476278 	 0.006080
0.000840 	 0.399596 	 0.005632
0.000960 	 0.323204 	 0.004478
0.001080 	 0.251310 	 0.002852
0.001200 	 0.188406 	 0.001133
0.001320 	 0.138187 	 0.001424
0.001440 	 0.102650 	 0.002925
0.001560 	 0.082033 	 0.003897
0.001740 	 0.078497 	 0.002982
0.002040 	 0.062390 	 0.001194
0.002340 	 0.033184 	 0.000351
0.002640 	 0.012095 	 0.000167
0.002940 	 0.003786 	 0.000137
0.003240 	 0.002420 	 0.000058
0.003940 	 0.000956 	 0.000032
0.004640 	 0.000409 	 0.000012
